"ID";"RegioS";"Perioden";"PrijsindexBestaandeKoopwoningen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"AantalVerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"599";"PV20  ";"1999JJ00";"    53.6";"    10.9";"    10.9";"    7943";"    13.9";"    13.9";"   96075";"     763"
"600";"PV20  ";"2000KW01";"    58.3";"     3.2";"    15.3";"    1482";"   -31.9";"    -6.3";"  105255";"     156"
"601";"PV20  ";"2000KW02";"    60.9";"     4.5";"    15.5";"    1674";"    13.0";"   -12.7";"  108299";"     181"
"602";"PV20  ";"2000KW03";"    64.1";"     5.3";"    16.9";"    1839";"     9.9";"   -18.9";"  115044";"     212"
"603";"PV20  ";"2000KW04";"    65.9";"     2.7";"    16.6";"    1876";"     2.0";"   -13.7";"  116797";"     219"
"604";"PV20  ";"2000JJ00";"    62.3";"    16.1";"    16.1";"    6871";"   -13.5";"   -13.5";"  111768";"     768"
"605";"PV20  ";"2001KW01";"    67.6";"     2.6";"    15.9";"    1341";"   -28.5";"    -9.5";"  119178";"     160"
"606";"PV20  ";"2001KW02";"    69.8";"     3.3";"    14.6";"    1687";"    25.8";"     0.8";"  125327";"     211"
"607";"PV20  ";"2001KW03";"    73.7";"     5.6";"    15.0";"    1998";"    18.4";"     8.6";"  132616";"     265"
"608";"PV20  ";"2001KW04";"    74.4";"     0.9";"    12.9";"    1824";"    -8.7";"    -2.8";"  136490";"     249"
"609";"PV20  ";"2001JJ00";"    71.4";"    14.6";"    14.6";"    6850";"    -0.3";"    -0.3";"  129222";"     885"
"610";"PV20  ";"2002KW01";"    76.4";"     2.7";"    13.1";"    1453";"   -20.3";"     8.4";"  135510";"     197"
"611";"PV20  ";"2002KW02";"    77.9";"     2.0";"    11.7";"    1752";"    20.6";"     3.9";"  138403";"     242"
"612";"PV20  ";"2002KW03";"    79.9";"     2.5";"     8.3";"    1875";"     7.0";"    -6.2";"  146470";"     275"
"613";"PV20  ";"2002KW04";"    79.7";"    -0.2";"     7.2";"    1821";"    -2.9";"    -0.2";"  143886";"     262"
"614";"PV20  ";"2002JJ00";"    78.5";"    10.0";"    10.0";"    6901";"     0.7";"     0.7";"  141432";"     976"
"615";"PV20  ";"2003KW01";"    81.7";"     2.5";"     7.0";"    1318";"   -27.6";"    -9.3";"  144162";"     190"
"616";"PV20  ";"2003KW02";"    82.8";"     1.3";"     6.3";"    1667";"    26.5";"    -4.9";"  147774";"     246"
"617";"PV20  ";"2003KW03";"    84.4";"     1.9";"     5.7";"    1760";"     5.6";"    -6.1";"  149559";"     263"
"618";"PV20  ";"2003KW04";"    84.5";"     0.1";"     6.0";"    1958";"    11.3";"     7.5";"  149920";"     294"
"619";"PV20  ";"2003JJ00";"    83.3";"     6.2";"     6.2";"    6703";"    -2.9";"    -2.9";"  148159";"     993"
"620";"PV20  ";"2004KW01";"    86.1";"     1.9";"     5.4";"    1330";"   -32.1";"     0.9";"  148888";"     198"
